population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,208692.0,272.0,38.857,7874.0,8.0,1.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,208856.0,164.0,23.429,7877.0,3.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,209086.0,230.0,32.857,7877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,209251.0,165.0,23.571,7878.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,209369.0,118.0,16.857,7879.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,209510.0,141.0,20.143,7880.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,209749.0,239.0,34.143,7881.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,210080.0,331.0,47.286,7882.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,210628.0,548.0,78.286,7883.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,211512.0,884.0,126.286,7884.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,212612.0,1100.0,157.143,7885.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,214070.0,1458.0,208.286,7887.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,214880.0,810.0,115.714,7892.0,5.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,216756.0,1876.0,268.0,7897.0,5.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,218739.0,1983.0,283.286,7908.0,11.0,1.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,220167.0,1428.0,204.0,7913.0,5.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,221217.0,1050.0,150.0,7915.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,221995.0,778.0,111.143,7919.0,4.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,222526.0,531.0,75.857,7920.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,222959.0,433.0,61.857,7922.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,223156.0,197.0,28.143,7928.0,6.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,223280.0,124.0,17.714,7928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,223606.0,326.0,46.571,7931.0,3.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,223785.0,179.0,25.571,7932.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,224030.0,245.0,35.0,7934.0,2.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,224224.0,194.0,27.714,7935.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
